stationId,building,x,y,assetId,assetType,type,size,manufacturer,lastInspection,nextDue,isoCategory,inspectionStickerID,status
ST-1-001,1,6724,4285,1-001-2,extinguisher,Powder,9.900kg,136 | TORNADO,10/1/2025,10/1/2026,2,233885,good
ST-1-001,1,6724,4285,1-001-1,extinguisher,CO2,7.700kg,137 | 9963,10/1/2025,10/1/2026,5,233886,good
ST-1-002,1,6235,4424,1-002-3,extinguisher,CO2,6.800kg,131 | 10871,10/1/2025,10/1/2026,5,233880,good
ST-1-002,1,6235,4424,1-002-2,extinguisher,Powder,9.100kg,132 | TORNADO,10/1/2025,10/1/2026,2,233881,good
ST-1-002,1,6235,4424,1-002-1,extinguisher,CO2,6.950kg,133 | 10116,10/1/2025,10/1/2026,5,233882,good
ST-1-004,1,6645,4177,1-004,extinguisher,CO2,16.000kg,138 | 5284,10/1/2025,10/1/2026,5,233887,good
ST-1-005,1,6837,4139,1-005-2,extinguisher,Water,13.3,134 | 002,1/10/2025,1/10/2026,1,233883,good
ST-1-005,1,6837,4139,1-005-1,extinguisher,Powder,9.1,135 | TORNADO,1/10/2025,1/10/2026,2,233884,good
ST-1-005,1,6837,4139,1-M07,hose,Water,30 m,-,9/30/2024,9/30/2025,1,STK-HOSE-002,good
ST-1-006,1,6927,4246,1-006-1,extinguisher,CO2,14,100 | 8835,1/9/2025,1/9/2026,5,233809,good
ST-1-007,1,7223,4156,1-007-2,extinguisher,Powder,9.45,87 | 03225,1/9/2025,1/9/2026,2,233796,good
ST-1-007,1,7223,4156,1-007-1,extinguisher,Water,13.45,88 | 01203,1/9/2025,1/9/2026,1,233797,good
ST-1-007,1,7223,4156,1-M02,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-008,1,7077,3304,1-008-2,extinguisher,Water,14.3,91 | 00559,1/9/2025,1/9/2026,1,233800,good
ST-1-008,1,7077,3304,1-008-1,extinguisher,Powder,9.4,92 | 01479,1/9/2025,1/9/2026,2,233801,good
ST-1-008,1,7077,3304,1-M05,hose,Water,30 m,,9/30/2024,8/22/2025,1,,good
ST-1-009,1,7354,3134,1-009-1,extinguisher,Water,13.75,89 | 00287,1/9/2025,1/9/2026,1,233798,good
ST-1-009,1,7354,3134,1-009-2,extinguisher,Powder,9.45,90 | 03234,1/9/2025,1/9/2026,2,233799,good
ST-1-009,1,7354,3134,1-M03,hose,Water,30 m,,9/30/2024,9/30/2025,1,-,good
ST-1-009,1,7354,3134,1-M04,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-010,1,7042,3019,1-010-1,extinguisher,Powder,9.4,94 | 00627,1/9/2025,1/9/2026,2,233803,good
ST-1-010,1,7042,3019,1-010-2,extinguisher,Water,13.45,95 | 002,1/9/2025,1/9/2026,1,233804,good
ST-1-010,1,7042,3019,1-M05,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-011,1,6435,2951,1-011-2,extinguisher,Powder,9.3,177 | TORNADO,1/13/2025,1/13/2026,2,233948,good
ST-1-011,1,6435,2951,1-011-1,extinguisher,CO2,14.4,178 | 7171,1/13/2025,1/13/2026,5,233949,good
ST-1-011,1,6435,2951,1-M26,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-012,1,5887,2951,1-012-2,extinguisher,Powder,16.8,179 | TORNADO,1/13/2025,1/13/2026,2,233950,good
ST-1-012,1,5887,2951,1-012-1,extinguisher,CO2,14.35,180 | TORNADO,1/13/2025,1/13/2026,5,233951,good
ST-1-013,1,6124,3114,1-013,extinguisher,CO2,6.9,202 | 151063,1/13/2025,1/13/2026,5,233973,good
ST-1-014,1,6195,3114,1-014,extinguisher,CO2,7.9,204 | 003352,1/13/2025,1/13/2026,5,233975,good
ST-1-015,1,6284,3095,1-015,extinguisher,CO2,6.85,205 | 027952,1/13/2025,1/13/2026,5,233976,good
ST-1-019,1,6392,3304,1-019,extinguisher,CO2,6.55,207 | 47272,1/13/2025,1/13/2026,5,233978,good
ST-1-020,1,6306,3309,1-020,extinguisher,CO2,8.3,206 | 004341,1/13/2025,1/13/2026,5,233977,good
ST-1-021,1,6215,3309,1-021,extinguisher,CO2,7,203 | 10439,1/13/2025,1/13/2026,5,233974,good
ST-1-022,1,6133,3309,1-022,extinguisher,CO2,6.2,185 | 05193,1/13/2025,1/13/2026,5,233956,good
ST-1-024,1,5815,3429,1-024-2,extinguisher,Powder,9.4,156 | SOLTI,1/10/2025,1/10/2026,2,233905,good
ST-1-024,1,5815,3429,1-024-1,extinguisher,CO2,14,157 | 6916,1/10/2025,1/10/2026,5,233906,good
ST-1-024,1,5815,3429,1-M20,hose,Water,30 m,-,9/30/2023,9/30/2024,1,,
ST-1-027,1,6349,3546,1-027,extinguisher,CO2,6.5,160 | 9161,1/10/2025,1/10/2026,5,233909,good
ST-1-030,1,6424,3536,1-030,extinguisher,CO2,7.55,161 | 150383,1/10/2025,1/10/2026,5,233910,good
ST-1-031,1,6511,3417,1-031-1,extinguisher,Powder,9.1,170 | TORNADO,1/10/2025,1/10/2026,2,233919,good
ST-1-031,1,6511,3417,1-031-2,extinguisher,Powder,9.3,173 | TORNADO,1/13/2025,1/13/2026,2,233944,good
ST-1-031,1,6511,3417,1-M21,hose,Water,30 m,,9/30/2024,9/30/2025,1,,good
ST-1-032,1,6483,3544,1-032,extinguisher,CO2,7.8,162 | 0036,1/10/2025,1/10/2026,5,233911,good
ST-1-033,1,6595,3391,1-033-1,extinguisher,CO2,,,4/17/2025,4/17/2026,5,238371,good
ST-1-033,1,6595,3391,1-033-2,extinguisher,Water,,,4/17/2025,4/17/2026,1,238373,good
ST-1-033,1,6595,3391,1-B1,extinguisher,Fire blanket heavy 1.5x1.5m,,,1/1/2025,1/1/2100,,,good
ST-1-034,1,6565,3555,1-034,extinguisher,CO2,13.9,174 | 6792,1/13/2025,1/13/2026,5,233945,good
ST-1-035,1,6677,3570,1-035-2,extinguisher,Powder,9.35,98 | 00298,1/9/2025,1/9/2026,2,233807,good
ST-1-035,1,6636,3572,1-035-1,extinguisher,Water,13,99 | 002,1/9/2025,1/9/2026,1,233808,good
ST-1-035,1,6636,3572,1-M06,hose,Water,30 m,,1/1/2025,1/1/2100,1,,good
ST-1-036,1,6506,3710,1-036,extinguisher,CO2,6.8,166 | 067910,1/10/2025,1/10/2026,5,233915,good
ST-1-037,1,6457,3710,1-037,extinguisher,CO2,6.5,165 | 068089,1/10/2025,1/10/2026,5,233914,good
ST-1-038,1,6398,3698,1-038,extinguisher,CO2,6.8,164 | 10672,1/10/2025,1/10/2026,5,233913,good
ST-1-039,1,6342,3702,1-039,extinguisher,CO2,6.8,163 | 065890,1/10/2025,1/10/2026,5,233912,good
ST-1-040,1,5862,3605,1-040-2,extinguisher,CO2,6.8,159 | TORNADO,1/10/2025,1/10/2026,5,233907,good
ST-1-040,1,5862,3605,1-040-1,extinguisher,Water,13.25,158 | 002,1/10/2025,1/10/2026,1,233908,good
ST-1-041,1,5291,3555,1-041-2,extinguisher,Water,13.2,153 | 00573,1/10/2025,1/10/2026,1,233902,good
ST-1-041,1,5291,3555,1-041-3,extinguisher,Water,14,154 | 00563,1/10/2025,1/10/2026,1,233903,good
ST-1-041,1,5291,3555,1-041-1,extinguisher,Water,13.3,155 | 13450,1/10/2025,1/10/2026,1,233904,good
ST-1-042,1,5445,3788,1-042-1,extinguisher,Powder,9.3,151 | SOLTI,1/10/2025,1/10/2026,2,233900,good
